aabad,Populated
lalitesh,God of Beauty
lalitesh,God of beauty; God of grace; Consort of a beautiful wife 
lalith,Beautiful; Intelligence; Sharpness
lalith,Beautiful; Desirable; Voluptuous; Gentle; Graceful; Charming; Sporting gentle 
lalithaditya,Beautiful Sun 
lalitkishore,Beautiful 
lalitkumar,Beautiful
lalitlochan,One with Beautiful Eyes
lalitmohan,Beautiful - Attractive
lalitmohan,Beautiful and attractive 
lalitraj,Lord of Beauty
lalitraj,Beautiful; Lovely; Attractive; Elegant 
lalitya,Soft; Gentle; Beautiful
laljee,Dear One; Beloved
lalji,Lovely, Beloved, Dear One
lalkrishna,Child Krishna
lall,Red Colour; Yellow
lallan,To Care
lallu,Good; Brave
lalmohan,Lord of Krishna
lalo,Wealthy Defender
laloo,Innocent
lalu,Lovely, Beloved, Dear One, Love
lambakarna,Large-eared Lord
lambakarna,Large eared Lord 
lambodar,Lord Ganesh
lambodar,Lord Ganesh, The huge bellied Lord 
lambodara,Lord Ganesh, The huge bellied Lord 
lambodhar,Lord Ganesh
lambodhar,Lord Ganesh, The huge bellied Lord 
lander,From the Grassy Plain
langith, 
langith,TBD
langoora,Genus of Monkey, Baboon
laniban,Lord Shiva 
laniban,Lord Shiva
lanka,Chilli; Empire of Ravana
lankapuravidahaka,The one who burnt lanka 
lankesh,Ravana 
lankesh,Enemy of Lord Rama; King Ravana
lankeshwar,King of Lanka; Ravana
lankineebhanjana,Slayer of lankini 
lapaya,Lord Ganesh
laran,The Psychic Powers and Abilities of the Comyn Caste 
larraj,A Sage
larraj,A sage 
larshan,Stands for Peace; Chinese Zodiac 
lasa,Week
lashit,Wished; Desired 
lashith,Wished; Desired 
lashith,Brave
lashkar,Army
lasivinraj, 
laskmibanta,Lord Shiva
laskmigopal,Lord Vishnu
latafat,Elegance, Gentleness, Kindness
lataka,A Sage
latavya,Part of Love Good
lateef,Gentle; Kind; Pleasant
lateefa,Gentle; Kind; Fine
latesh,New; Warrior
latesh,New; Warrior 
lath,Straight Like Bamboo Stick
lathesh,Lord of Climbers
lathish,Happiness 
lathish,Truth
latif,Gentle, Pleasant
latifah,Elegance
latikesh,Lord Krishna
latish,Truth; Lord of Addiction
latish,Happiness 
laukik,Fame 
laul,Pet
lav,Son of Lord Rama; Small Particle
lav,Son of Lord Rama (son of Lord Rama)
lava,Piece (Son of Ram and Sita; brother of Kush)
lavakumar,Son of Lord Ram
lavam,Clove; Small 
lavan,White; Handsome; Salt 
lavan,One of Obedience
lavana,Handsome
lavana,Brilliant; Handsome; Beauty 
lavanay,Handsome 
lavaneeth,Son of Lord Rama
lavanika,Very Beautiful
lavanis,Softness
lavanya,Beauty
lavaraja,King of Love
laveena,Loveable; Lord of Beauty
laven,Fragrance; Lord Ganesh 
laven,Fragrance
lavenesh, 
lavesh,King; Lovable
lavesh,God of Love 
lavi,Lion; Combined; Brave
lavik,Intelligent
lavika,That Matters
lavin,Fragrance; Lord Ganesh 
lavin,Lord Ganesha
lavinesh,Love
lavish,Lord of Love, Cute, Luxurious
lavit,Lord Shiva; Lovely; Small 
lavit,Lovely; Small; Lord Shiva
lavith,Lord Shiva
lavith,Lord Shiva; Lovely; Small 
lavitra,Lord Shiva; Lovely; Small 
lavitra,Lord Shiva
lavkit,Loveable
lavkush,TBD
lavnay, 
lavnik,Smart; Handsome
lavnish,Lord of Beauty
lavnya,Beauty; Grace 
lavnya,Beauty; Grace
lavonn,Cute
lavraj,Kingdom of Lord Rama's Son
lavyansh,Ansh part of Love 
lavyansh,Braveness; Part of Love
laxaminarayan,Vishnu and Laxmi
laximikant,Lord Vishnu
laxit,Targeted, Great Power, Strong
laxiv,Target; Aim
laxman,Prosperous; Brother of Lord Rama; Born to give (Queen Sumitra's son and Rama's brother)
laxman,Lord Rama's Brother; Auspicious; …
laxmanya,Visible Far and Wide
laxmi,Wealth; Rich; Goddess Lakshmi
laxmi kant,Lord Vishnu, Consort of Goddess Lakshmi 
laxmi narayana,Lord Vishnu and Goddess Laxmi 
laxmi priya,Tulsi; Goddess Laxmi; Lord Vishnu; Mutyam 
laxmi srinivas,Beautiful 
laxmidas,Servant of Goddess Lakshmi
laxmidhar,Lord Vishnu
laxmikant,Lord Vishnu
laxmikant,It is name of Lord Vishnu 
laxminarayana,Lord Vishnu and Goddess Laxmi 
laxmisrinivas,Beautiful
laxraj,Target; Aim
laxy,Target
laxya,Aim; Target
lay,From the meadow farm; Concentration; Peace; Another name for Brahman or the supreme spirit; Small; Bit; A moment of time; Harvesting; The son of God Ram 
laya,Music, Rhythm, Decline
layak,Fit; Clever; Capable 
layak,Capable
layam,Rhythm 
layam,Rhythm
lazarus,Flame, Fire, God is My Help
laziz,Tasty
lazzaro,My Helper is God; God will Help
leander,Strong / Brave as a Lion
ledari,Strong
leekhit,Written
leeladhar,Capable; Lord Krishna
leeladhar,Lord Vishnu; One who indulges in play; Pastime; An epithet of Krishna; Epithet of Vishnu 
leelakar,Lord Krishna; Capable; One who works miracles; One of many names of Lord Krishna 
leelakar,Lord Krishna
leelaram,Powerful
leelash, 
leeto,Journey
lehan,One who refuses 
lehar,Wave
leica,She was a Dog that Went to Space
leil,Awesome Kid; Handsome
lekh,Document; Writing; Signature; Deity 
lekh,Writings, Contribution, Document
lekhak,An Author
lekhak,An author 
lekhan,Writing; Article
lekhan,Writing; Article 
lekharaj,Lord of Articles
lekhit,Written
lekhit,Written 
lekhith,Written
lekhnath,King of Writer
lekhraj,Written King
lekhraja,Lord of Articles
lekitesh,Writer
lekith,Written; Beautiful Writing
lekith,Written 
lelayamana,Document
lemana,the she-oak tree 
lemar,Talented one 
lemar,Talented One
lemmie,Devoted to the Lord 
lemuel,Belonging to God, Devoted to Lord
lenin,Lover 
lenin,A Little Cape; Cloak
lepaksh,Having painted eyes 
lepaksh,Lord Siva
lesh,Small portion; Littleness; Particle or atom; Small; Bit; A little song 
leshan,Defender of humanity 
levish,Rich
leysha,Devotee of God
leyshya,Bright Line
lian,Lotus 
lian,Honest; Soft; Lovely Willow
liang,Bright One; Excellent
libeesh, 
libhan, 
libni,Manuscripts of God 
lidin,Special 
liga,Lord of sweetness 
ligu,Shy
lihaan,Sweet; Guide; Unique
lijeesh,Winner
lijesh,Bright Feature; Light
lijesh,Bright Feature; Light 
lijupaul,TBD
likesh,Name of Lord Shiva
likesh,Name of lord Shiva 
likha,Written
likhesh,Name of Lord Shiva
likhil,Goddess Saraswati
likhil,Goddess Saraswati 
likhit,Written
likhit,Written; Drawn 
likhita,Write Standing
likhith,Written; Drawn 
likhith,Writing; Written
likhitha,Writing
likhithesh, 
likhitri,Written
likilesh,Goddess Saraswati
likit,Written; Writing 
likit,Written; Perfect; Writing
likith,Writer; Written; Lord Vishnu; Aim
likith,Written; Drawn 
lila,Divine Drama; Pleasure; Purity
liladhar,Name of Lord Krishna
liladhar,Lord Vishnu; One who indulges in play; Pastime; An epithet of Krishna; Epithet of Vishnu 
liladher,Lord of Vishnu
liladhya,A Board of Pleasure
lilanath,God Shiva
limitless,Asim
limpa,Very Nice
linay, 
linga,Statue of Lord Shiva; Gender
lingadevaru,Lord Shiva
lingadevaru,Lord Shiva, Lord of the linga 
lingadhyaksha,Lord of the lingas 
lingaiah,Lord Shiva
lingaiah,Lord Vishnu 
lingam,Symbol of God Shiva
lingam,Lingam 
lingamoorthy,God Sivan
lingamurthy,Name of Lord Shiva; Shivasannidi
lingamurthy,Shivasannidi 
lingamurti,God Sivan
lingan,God Sivan
lingapandi,God Siva
lingapandi,Lord Shiva 
lingappa,God Sivan
lingappan,God Sivan
lingaraja,Lord of the lingas 
lingaratnam,God's Gift
lingasamy,Lord Siva
lingesan,God Sivan
lingesh,Lord Shiva 
lingesh,Lord Shiva
lingeshvar,Name of Lord Shiva
lingeshvaran,Another Name of Lord Shiva 
lingeswaran, 
liniksh, 
linish, 
linith, 
linu,A cry of grief 
linu,A Cry of Grief
lipshit,Desired 
lisanth, 
lisha,The Lord is My Salvation
lishan,Other Form of Lord Shiva, Award
lishan,Tongue; Language; Defender of humanity 
lishant, 
lishanth,Lucky; Defender of Mankind
lishanth,Lucky 
litesh,God of Literature
lithesh, 
lithesh,Charismatic, Energetic
lithiesh,Aim
lithiesh,Aim 
lithish,God
lithun,Great Scientist; Brave
lithvik, 
littikehsh,Lord Shiva
livesh,King
liyansh,Part of Lord Vishnu
loakhan, 
loakhan,TBD
lobhesh, 
lobhesh,Conservative; Symbol of Profit
locana,Eyes
lochan,The Eye; Little Pond
logachandran,Lovable
logachandran,Lovable 
logan,Dweller in a Little Hollow, Small
loganathan,King of the World, Power, Good
loganathan,King of the World; Power; Good; Clever 
logar,Great Mountain
logenthiran,Power 
logesh,Leadership for World
logesh,Name of a God 
logeshwaran,Lord Siva
logeshwaran,Lord Shiva, Lord of the world 
logith, 
logithan,Leek Garden; Garden of Onnion
logithan,Leek garden 
lohajit,A Diamond
lohan,Beautiful; Sun
lohansh,Lord Shiva
lohendra,Lord of Three Worlds
lohendra,Lord of three worlds 
lohit,Red; Made of Copper; Mars; Lord; Battle; Sandalwood; Saffron 
lohit,Metal Mind, Soft Heart, Red
lohitaksh,Lord Vishnu; Red Eyed
lohitaksh,Lord Vishnu; Red-eyed 
lohitaksha,Lord Vishnu
lohitaksha,Lord Vishnu; Red-eyed 
lohitashwa,One with Red Horse; Fire
lohitashwa,One with a red horse; Fire 
lohith,Lord Shiva; Beautiful
lohith,Red; Made of Copper; Mars; Lord; Battle; Sandalwood; Saffron 
lohitha,TBD
lohithaksh,Lord Vishnu; Red-eyed 
lohitsaran, 
lok,The universe; Heaven; Earth; Humanity; Humankind 
lokadhyaksha,Lord of all the three lokas worlds 
lokajit,Conqueror of World
lokajit,Conqueror of world 
lokakanta,Lord Vishnu
lokakriti,Creator of World
lokakriti,Creator of the world 
lokamanya,Most Respectable
lokanath,Lord of All Worlds
lokanetra,Eye of the World
lokanetra,Eye of the world 
lokankara,Creator of the three worlds 
lokansh,Good; Lord Shiva
lokant,TBD
lokapal,One who takes care of the world 
lokapradip,Light of the World
lokapujya,Worshipped by the Universe
lokapujya,Worshipped by the universe; A name of Lord Hanuman 
lokasundar,Very Handsome
lokasunder,Very Handsome
lokavya,One who Deserves Heaven
lokbhushan,Ornament of the World
lokbhushan,Ornament of the world 
lokeesh,King of the World
lokender,King of the Earth 
lokendra,King of world 
lokes,King of World; Lord Shiva
lokesh,King of world 
lokesha,God King of World, Lord Shiva
lokeshwar,Lord Shiva
lokeshwar,God; King 
lokeshwaran,King of the world is the single quote for this word. the person with this name would be more enchanting, Goal-oriented and would be able to adapt to any circumstances 
lokhu,Lucky Person
lokin,One who Possesses the World
lokit,The enlightened one 
lokit,Enlightened
loknadh,Lord of Universe
loknadh,Lord of Universe 
loknath,Emperor, Lord of All Worlds
loknath,Lord of the world 
lokpradeep,Gautam Budha
lokpradeep,Gautam Buddha 
lokprakash,Light of the World
lokprakash,Light of the world 
lokprasad,Light of the World
lokranjan,Lord Vishnu
lokranjan,Lord Vishnu; Pleasing the world; Gaining public confidence 
lokya,Lord of All Worlds 
lokya,Lord of All Worlds
lolaksi,The Power of Lord Ganesha
lolika,King
lomaharshana,Light of the World
lomakesh, 
lomash,A sage 
lomash,A Sage
lomesh,Name of Rishi 
lomesh,Name of Rishi; A Sage
lonika,Adimanav; Caveman
lookman,TBD
lopesh,God Shiva 
lopesh,God Shiva
lord,Nobleman
loro,King of the World; Great Power
lotis,Related to Lotus
loukik,Famous; Popular 
loukik,Famous; Popular
lovely,Loveable
lovepal,Love to God
lovepal,Love to God 
lovesh,Love 
lovesh,Love; Lovable Person
lovey,Very cold as Moon 
lovey,Very Cold as Moon
loveyansh,Part of Lady and Man; Slove
loveyansh,Part of lady & man; Love 
lovik,Lord Ganesha
lovish,Famous battle 
lovish,Love; Love of God
lovyam,The Sun 
lovyam,Sun
lovyansh, 
loy,Intelligent; Smart; Clever
lucky,Shubh 
lucky,Fortunate
luckyraj,From Lucania; Fortunate 
luhan,deer of the dawn; morning deer 
luhit,Name of a river 
luhit,Name of a River
luit,River Brahmputra
lukesh,King of the empire 
lukesh,King of the Empire
lukesha,King of the Empire
lukesha,King of the empire 
lukeshwar, 
lukshan,Like a Hero
lumbika,A Musical Instrument
luntha,Lovable
lupesh, 
lupesh,Honest
luqman,The Biblical Aesep
lusha,Saffron
lushano,TBD
lushant,Peace
lusila,Chief; Leader
luta,A Lot of
luthria,Bearer of Aids
luttaka,TBD
luv,First of Lord Rama's twin son (Son of Lord Rama)
luv,Son of Lord Rama; Love
luvik,Journey of World
luvkush, 
luvya,Lovable 
luvya,Lovable
luxman,Loyal and Sincere
lvanish,The Son of Dhrup
lyall,From the Island; Lion Wolf; Loyal
maadesh,Lord Shiva 
maadhav,Another name of Lord Krishna; Sweet like honey 
maadhav,Another Name of Krishna
maagh,Name of a Hindu Month
maahi,TBD
maahik,Earth; Great
maahil,Kindness, Lord Vishnu, The World
maahir,Expert; Brave 
maahir,Skilled; Expert; Generous
maaksharth,It means, Precious part of a Mother's heart 
maalav,A musical raag; Ansh of Goddess Lakshmi; Horse keeper 
maalav,Keeper of Horses
maalik,God, Experience, Master, Lord
maalin,One who makes garlands; Wearing a garland; Crowned; Gardener 
maalin,One who Makes Garlands
maalolan,Name of deity in ahobilam 
maan,Lecturer; Respect; Supernatural power; Lord of mind; Opinion; Devotion; Home; Pride; Respect home 
maan,Heart; Mind; Lecturer; Respect
maanas,Mind; Soul; Brilliant; Spiritual thought; Heart intellect; Desire; Human being; Latin manus is translated as hand; Insight; Cheerfulness 
maanasa,Mind
maanav,Man; Youth; Relating to Manu; Humankind; Human being; Pearl; Treasure human being 
maandav,An able administrator; Fit; Competent 
maandavik,Belonging to people; Administrator 
maandhan,Rich in honour; Honourable 
maandhar,Honourable 
maanik,Ruby; Valued; Honoured; Gem 
maanika,Full of Respect; Ruby
maaniky,Proud
maanikya,Ruby 
maanit,Honoured; Respected
maansik,Intellectual; Fanciful; Psychic 
maanvik,Proud
maanvir,Brave from Heart
maanvir,Brave heart 
maanyasri, 
maaran,Brave
maargin,Guide; Pioneer 
maargit,Pearl; Desired; Needed 
maari,Rain; God
maccha,Killer
mada,Furthest Point, Illusion
madan,Cupid, God of Love, Lord Krishna
madana,God of Love; Cupid; Manmatha
maddhur,Melodious; Honey; Sweet
maderu,Worthy of Praise
madesh,Lord Shiva
madev,Lord Shiva; Form of Mahadev
madhab,Relating to the Spring
madhabi,Springtime; Intelligence
madhan,Man Filled with Beauty
madhana,TBD
madhani,Butter Maker
madhav,Sweet like Honey, Lord Krishna
madhava,Born is Springtime; Lord Krishna
madhave,Sweet Like Honey
madhavi,A Creeper with Beautiful Flowers
madhesh,Name of Lord Krishna
madhi,Lord Shiva
madhu,Honey; Nectar
madhuk,A Honeybee
madhup,Attraction; A Honeybee
madhupa,Drinking Sweetness
madhur,Honey; Sweet; Melodious
madhura,Sweet
madhuri,Sweetness
madhvan,Another Name of Lord Krishna
madhvik,Collector of Honey
madhwa,Another Name of Lord Krishna
madin,Delightful; Fearless
madur,A Bird; One which Fly in the Sky
madurai,Krishna
maeron,Salty; Bitter
magadh,Son of Yadu; Minstrel
magan,Competent, Engrossed, Pearl
magana,Delightful
magath,Honour
magee,Son of Hugh
magh,Rain, Name of a Hindu Month
maghona,Cloud
magilan,King of the Earth, Happiness
magnar,Absorbed, Mighty Soldier
maha,Very Big; Gazelle
mahaan,A Great Person
mahabal,Very Strong
mahabir,Lord Hanuman; Illustrious Hero
mahadat,King
mahadeo,One of the Lord Shiva's Name; God …
mahaj,A Nobel Descent; Of Noble Birth
mahak,Beautiful Fragrance
mahaka,Fragrance
mahakal,Lord of Lord Shiva 
mahakala,Lord of all times 
mahakaleshwar,Lord Shiva, The meaning of Kaal in hinduism is time, and the Maha or greatness of Lord Shiva is thought to be greater than time itself 
mahakaya,Gigantic; Lord Hanuman 
mahakethu,Lord Shiva; Maha - great; Powerful; Supreme; Ketu - the node; Form; Banner; Leader; Brightness; A ray of light; Ensign; Any eminent person; Intellect; Knowledge 
mahaketu,Lord Shiva; Maha - great; Powerful; Supreme; Ketu - the node; Form; Banner; Leader; Brightness; A ray of light; Ensign; Any eminent person; Intellect; Knowledge 
mahakram,Lord Vishnu; He provides easy step-by-step access to the elevation of his devotees 
mahale,Bear
mahaling,Lord Shiva name 
mahalingam,Shivalingam 
mahamani,Lord Shiva; A precious gem; Epithet of Shiva 
mahamati,One with a big brain (Lord Ganesh) 
mahamrityunjaya,The great victor of death 
mahan,Great one; Powerful; Eminent 
mahan,The Great / Proud One
mahanand,Joy 
mahanidhi,Great storehouse 
mahaniya,Worthy of honor 
mahant,Great 
mahant,Knowledge; Lord Shiva; Great
mahantesh,Great soul 
mahanth,Great 
mahanthesha,The Moon 
mahapurush,Great being; Lord Rama 
mahapurusha,Great being 
maharanth,Pollen inside a flower 
maharavanamardana,Slayer of the famous Ravana 
maharsh,Great saint 
maharshi,A great saint 
maharth,Very truthful 
maharudra,It means the biggest (Maha) Rudra Shiva; Name of Lord Shiva 
maharvin,Glorious 
mahash,One who does not smile; Serious; Unsmiling 
mahat,Lord Shiva; Great
mahdi,Rightfully Guided
mahe,Lord Krishna
mahee,The World; Other Name of Earth
maheem,Blessing; Name of Peer; Lord Shiva
maheep,Emperor, Monarch, Ruler
mahek,Lord; God; Good Fragrance
mahen,Greatest
mahendra,The great God Indra (the God of the Sky), Lord Indra, Lord of the Sky 
maher,Adept; Generous; Skilled; Able
mahes,God Shiva
mahesa,Great Lord; Lord Siva
maheshwara,Lord of the gods 
maheya,Joy
mahi,The World, God of Victory
mahie,Connexion of Heaven / Earth
mahii,Heaven and Earth Conjoined
mahik,Earth
mahil,Kindness, One who Progresses
mahim,Blessing, Glorious, Powerful
mahima,Glorious
mahimn,Name of Lord Shiva / Ganesha
mahin,The Earth
mahindra,A king 
mahip,Protector of the Earth
mahir,Expert, Industrious, Skilful
mahish,A King
mahit,Son of Earth; Honoured
mahith,Honoured
mahiya,Joy; Someone whom You Love
mahiyu,Happy
mahool,Cloud; Rain
mahrishi,Yogi 
mahrsh,TBD
mahtab,The Moon; Light of Moon
mahule,TBD
mainak,Son of Himalaya
maind,Son of the Lord Ashvinikumar
mairav,Friendly
maisan,Stone Worker
maisun,Hand Workers
maiti,Strong Battle Maiden
maitik,Sweet Friend
maiyur,Peacock; King of Love
majesh,TBD
majety,King
majhi,Sailor
maji,Boat Men; Navik
majid,Glorified, Innovator, Glorious
majil,Hope; Faithful
majnoo,Madness
majoo,Beautiful
major,Greater, Senior
mak,Smart; Dashing
makali,The Moon
makan,House; Place; Wind; Home
makar,Inspiration; Blessed
makesh,God; Lord Shiva
makhan,Soft; Pure Butter
maki,Housefly; Hill
makin,Strong; Firm; Well-founded
mal,Messenger of God, Lord Krishna
mal marugan,Lord Murugan, Vishnu's nephew 
mala,Kind, Responsible, First Born
malaimakal makan,Lord Murugan; The son of the daughter of mountain Himavan 
malan,Defender of mankind 
malank,King
malank,King 
malaravan,Gentle like flower 
malasri,Woman Wearing a Garland 
malati,A Creeper with Fragrant Flowers
malav,A musical raag; Ansh of Goddess Lakshmi; Horse keeper 
malay,A mountain; Fragrant; Sandalwood; A mountain range in south India famous for its spices 
malaya,A Forest; Freedom
malayaj,Sandal tree 
maleek,Master; King; Owner
malesh,Lord Shiva
malesh,Lord Shiva, Lord of garlands 
malhar,A Name of Lord Shiva
malhar,A Raga used in Indian music 
malhari,Lord Shiva; Enemy of the demon Malla 
mali,Ruler; First Born
malick,God
malikh,King
maliki,King; Owner
malinga,Brave 
maliya,Gardeners
malkant,Lord of Lotus; Lord Vishnu 
malkit,Happiness; Lordship
mallar,A Tune of Song
mallesh,Lord Shiva, Lord of garlands 
mallesha,Name of Lord Shiva 
mallesham,Mallanna God 
mallik,Great; Lord; Gift of the God
mallikarjun,Mallikarjun is An another name of the Lord Shiva 
mallu,God knowledge 
mallya,Lord Shiva
malolan,Name of deity in ahobilam 
maloy, 
malya,Worthy to be garlanded; Wealth; Mass of flowers 
malyaj,Sandalwood
mamik,Pure Soul; Meaningful 
mamraj,Lord of affection 
mamraj,Lord of Affection
man,Lecturer; Respect; Supernatural power; Lord of mind; Opinion; Devotion; Home; Pride; Respect home 
man,Mind, Human, God is with us
manaal,Attainment, Achievement
manaan,Meditate; Thinking; Thought 
managobinda, 
manahar,Lord Krishna; Pleasing; Charming; One who attracts the mind 
manaj,Born in mind; Created in mind; Imagined another name for the Love God Kaama 
manajit,One who has conquered thought; One who overcame the mind 
manajith,One who has conquered thought; One who overcame the mind 
manak,A kind soul; Related to the mind; Affectionate 
manalp,Very different 
manalp,Very Different
manan,Meditate; Thinking; Thought 
manana,Thought; Reflection
manank,Affectionate; Kind 
manank,With a Mark of Respect
manansh, 
manant,Deep Thinking 
manant,Deep Thinking
manap,Wining the heart; Taking the fancy; Pleasing; Beautiful; Attractive 
manarp, 
manas,Mind; Soul; Brilliant; Spiritual thought; Heart intellect; Desire; Human being; Latin manus is translated as hand; Insight; Cheerfulness 
manasa,Spiritual Short, Intention
manashyu,Wishing; Desiring; Desirous 
manasi,Born of the Mind
manasij,The Cupid; The God of Love; Passion; Love; The Moon; Another name for the Love God Kaama 
manasvin,Lord Vishnu; Intelligent; Clever; Prudent; Attentive; Full of mind 
manaswin,Lord Vishnu; Intelligent; Clever; Prudent; Attentive; Full of mind 
manasyu,Wishing; Desiring; Desirous 
manav,Man; Youth; Relating to Manu; Humankind; Human being; Pearl; Treasure human being 
manava,Mind; Human; Youthful
manava,Man; Human being 
manavendra,King among men 
manay,Loving personality; Who wins the heart 
manbir,Brave Heart; Warrior of Heart
mandan,Adorning
mandan,Adorning; Loving; Decoration 
mandar,A Mountain, A Flower
mandar,A flower; Heavenly; Large; Firm; Slow 
mandavya,Name of a sage 
mandeep,Light of the mind; Light of sages 
mandel,Makes Garments; Almond
mandhatri,Prince 
mandin,Delighting
mandin,Delighting; Nectar 
mandip,One who Lights in the Heart
mandir,Temple
mandir,Temple 
mandit,Decorated; Adorned 
mandith,Decorated; Adorned 
maneck,TBD
maneel,Lord Shiva
maneesh,Lord of the mind; Joyful temperament; Soul; Pride; Heart; Deep thinker 
maneet,One who Wins Heart; Soul
maneet,One who wins the heart; Highly respected; Highly regarded; Celebrated; Understood 
manendra,King of mind 
manesh,God of Mind
manesh,Lord of the mind; Joyful temperament; Soul; Pride; Heart; Deep thinker 
mangal,Good Time, Auspicious, Well Being
mangal,Auspicious; Welfare; Joy; Another name for Agni and Mars 
mangalam,All auspicious Lord 
mangalamurti,All auspicious Lord 
mangat,TBD
mangesh,Lord Shiva; Lord of benediction; Lord of welfare 
manggaurdi,Lord Murugan 
mangla,Good Times
manhan,Present; Gift 
manhar,One who Captures Mind
manhar,Lord Krishna; Pleasing; Charming; One who attracts the mind 
manhas,Always Happy
manher,One who Captures Mind
manhi, 
mani,A Jewel
mani,A Jewel; One who prevents 
mani charan, 
manian,Decision Maker
manibalan, 
manibhushan,Supreme Gem 
manich,Pearl; Flower; Hand 
manick,Ruby-like; Gem
manickaraj,King of gem 
manidhar,A mythical snake with a jewel in its Hood 
manigandan,Lord Ayyappa 
manik,Ruby; Valued; Honoured; Gem 
manika,Of Jewels
manikandan,One with a bell around his neck; Another name of Lord Ayyappa 
manikant,The blue Jewel; Shining brightly 
manikanta,Lord Ayyappa 
manikantan,One with a bell around his neck; Another name of Lord Ayyappa 
manikanth,The blue Jewel; Shining brightly 
manikya,Ruby 
manim,Spring of pearls 
manimaran,Playboy 
manindra,Diamond; Lord of gems 
maninth,Carried by the mind 
maniram,Jewel of a person 
manish,God of Mind, Intellect, Gender
manish,Lord of the mind; Joyful temperament; Soul; Pride; Heart; Deep thinker 
manishankar,Lord Shiva; Mani - Jewel + Shankar - causing happiness; Conferring good fortune; Auspicious 
manishin,Thoughtfull 
manishith,Wished; Desired 
manishowrya, 
manit,One who wins a heart; Highly respected; Highly regarded; Celebrated; Understood 
manith,Honoured
manith,Honored; Chosen 
manj,Brave and Fearless
manjar,Cluster of Blossoms
manjav,Swift as thought 
manjay,Winner of Mind
manjeet,Conqueror of the mind; Conqueror of knowledge 
manjil,Destination
manjit,Winner of the Mind
manjughosh,Sweet sounding recitation 
manjul,Handsome 
manjul,Handsome
manjunath,Snow; Dewdrops; Beautiful 
manjunatha,Lord Shiva, Name of Shiva; Lord of beauty; Charm; Pleasantness 
mankan,A part of the mind 
manksh,Longing; Desire 
manmada,Any time young 
manmat,The God; The Cupid
manmatha,Cupid 
manmathan,Kamadeva 
manmay,Belongs to Mind
manmit,Friend of mind 
manmit,Friend of Mind / Heart
manmohak,Manko Mohak karne wala 
manmohan,Pleasing; Lord Krishna 
manmoy,Belongs to Mind
mann,Mind, Vassal, Heart, Saul
mann,Lecturer; Respect; Supernatural power; Lord of mind; Opinion; Devotion; Home; Pride; Respect home 
mannan,Meditate; Thinking; Thought 
mannan,Thinking, Meditate, Benefactor
mannat,Wish
mannath,A vow to a deity; Wish 
mannem,National Player
mannik,Powerful
mannith,Honoured; Chosen 
mano,God be with us, Passionate Lover
manobhaav,Attitude 
manohar,One who wins over mind; Loveable; Charming; Another name for Lord Krishna 
manohara,One who wins over mind; Loveble; Charming; Another name for Lord Krishna; An Apsara or celestial nymph 
manoharan,Lord Murugan; Pleasing to mind; Name of a Raaga; Heart ravishing; Captivating; Attractive; Charming; A kind of Jasmine; Name of Krishna or Vishnu 
manohari,Beauty; Loveble; Jasmine; An Apsara 
manoj,Love; Originating in the mind; Born of mind 
manoja,One who can Read Your Mind
manojavam,Lord Hanuman, Speed like wind 
manojavaya,Lord Hanuman, Speed like wind 
manolo,God be with us, Born of Mind
manomay,Conqueror of one's heart; winner of hearts 
manonith,Carried by the mind 
manooj,Energy of Mind; Lord Hanuman
manoop,Son
manoranjan,One who pleases the mind 
manorath,Desire 
manorit,Desire; Of the mind 
manosh,Strong-willed; Practical; Stubborn
manot,Originating in the mind; Born of the mind 
manotej,Who has Fast Thinking 
manoth,Originating in the mind; Born of the mind 
manoth,Born of the Mind
manpal,A Person who Respect Others
manpav, 
manprasad,A mentally calm and relaxed person 
manraj,King of Heart / Mind
mansey,From Heart
mansh,Salvation 
manshu,Honest; Peace 
manshu,Honest; Peace
mansukh,Pleasure of mind 
mansur,Victorious, Aided by God
mansva,Bottom of the Heart
mant,Thought; Devotion; Another name of the Sun; Lord Shiva 
mantar,Bluff master 
mantas,Lord of Specific Wood; Precious
mantavya,Thought 
mantavyah,Sadhu 
manth,Thought; Devotion; Another name of the Sun; Lord Shiva 
mantha,Thought; Devotion; Another name of the Sun; Lord Shiva 
mantha,Another Name for the Sun
manthan,Reflection through study 
mantik,Thoughtful; Devoted 
mantosh,Pleasure of Mind 
mantra,Chant; Chanting
mantram,Holy name; Lord Vishnu 
mantraraj,Hymns, Holy chants 
mantrin,The knower of hymns; Wise; Articulate; Adviser; With knowledge of the sacred texts 
manu,Original Man, Letter
manuel,God with us, Powerful, Strong
manuj,Human; Born of Manu; Man (Son of Manu)
manuprairna,Inspiration of original Man 
manurai,Founder father of human beings 
manuraj,Kuber 
manus,Great. 
manv,Human
manvay,Heart Touching, Near to Heart
manvendra,King among men 
manvik,One who is consious; Intellegent; Kind hearted 
manvik,Man of Pure Soul, Humanity
manvil,From a great estate 
manvir,Brave heart 
manvir,Brave at Heart; Winner from Heart
manvit,Human 
manvit,Human; Lord Shiva; Lord Legend
manvith,Human 
manwendra,King among men 
manyam,Forest
manyas, 
manyata,Principles; Assumption 
manyu,Mind 
manzar,Sight; View
manzur,Acceptable; Admired
maraal,Swan
maraam,Aspiration; Wish; Desire
maral,Swan; Deer; Soft; Gentle 
marava,Fresh Air
mardav,Softness 
mardav,Softness
