prinaka,A girl who brings heaven to earth 
prinal,Pleased; Satisfied
princee,Daughter of King
princess,Daughter of King
princi,Queen
princia,Queen / Princess
princika,Princess
princle,Unicorn
princy,A Princess; Queen
prini,Goddess of Flowers
prinita,Friends
prinitha,Pleased 
prinjal,Queen of Angels
prinka,Love; Beloved; Loving; God's Gift
prinkal,One who is Like Love Bird
prinku,Beloved; Loving; Favourite
prinsha,TBD
prinsha,Success 
prinshi,A Princess
prinshu,A Princess
prinsi,Princess 
prinsi,Princess
prinsika,Princess
prinsu,A Princess; Ray of Sunlight
prinu,Pleased, Content
priom,TBD
prisa,God Gift; Beloved; Praise
prisca,Saint 
prisca,Saint; Ancient
prisha,Talent has given by God; Beloved; Loving; God's gift 
prishaa,Loving; God's Beautiful Gift; …
prishanka, 
prishi,One who attends ukzn and is tall 
prishi,To be Loved and to be Praised
prishika, 
prishita,Gentle, Creative and Ambitious
prishita,Gentle; Creative and Ambitious; God 
prishka,Full of Love
prishkaa,God's Beautiful Gift; Full of Love
prishu,God Gifted; Loving
prism, 
prit,Love
prita,Happy; Dear one; Another name of Kunti (Mother of Pandavas) 
prita,Dear One, Beloved
prital,Loved one 
prital,Loved One
pritam,Everyone's Fevourite
pritama,Beloved; Lover
pritami,Loving
pritanshi,Piece of Love
pritee,Love; Beautiful
priteeka,Dear One; Beloved; Love
prith,Love
pritha,Happy; Dear one; Another name of Kunti (Mother of Pandavas) (Mother of Pandavas)
pritha,Unique, Name of Kunti
prithanya, 
prithee,Love
prithee,Love; Satisfaction 
pritheisa,Goddess of Love
prithi,Love; Satisfaction 
prithika,Symbolic; Flower; Fair
prithika,Flower; Loveable 
prithisha,God of love 
prithivi,The Earth
prithiwisa,One who Win the World
prithpal,Love; Moment of Life
prithuloma,Fish; Pisces; Zodiac Sign
prithushri,With Great Fortune
prithvija,Earth
prithvika,Little Earth; Cardamom
prithya,Love; Belief or Faith
priti,Affection; Love 
priti,Love, Bonding, Beautiful, Delight
pritibala,Full of Love
pritika,Love; Dear One; Loved One; Beloved
pritika,Beloved; Dear one; An atom of love 
pritikana,An Atom of Love
pritikana,Beloved; Dear one; An atom of love 
pritilata,Blossom; A Creeper of Love
pritilata,A creeper of Love 
pritisa,Goddess of Love
pritisha,Goddess of Love; Durga
pritivi,World; Earth
pritma,Lover; Beloved
pritti,Bonding, Love
pritu,Bonding; Love
pritusha,Love, Bonding, Goddess of Love
prity,Love; Beautiful
prityka,TBD
prityusha,Early morning 
privi,Earth
privika,Purity; Devine
privya,Piece of Heart
priy,Beloved One; God's Gift
priya,Loved one; Darling; Beloved 
priya,Kind, Beloved One, Loved One
priya-dharshini,Nice View
priyaa,Beloved, Favourite
priyaa,Loved one; Darling; Beloved 
priyaani,Dearest
priyabrata,Flower; Devoted to Pleasing
priyada,Beloved
priyadarshani,Sweet looking; Delightful to look at 
priyadarshani,Nice / Beautiful View
priyadarshee,Love
priyadarshi,One who is Liked by All
priyadarshika,TBD
priyadarshini,Sweet looking; Delightful to look at 
priyadarshini,Delightful to Look; Loved One
priyadharshni,Honesty
priyadutta,Earth
priyagya,Loving
priyajanani,Mother with Love 
priyajanani,Mother with Love
priyaka,God's Gift; Grace
priyakankshi, 
priyal,Loved One, Emotional, Beloved
priyal,Beloved; One who gives love 
priyala,One who Gives Love, Honourable
priyala,Beloved; One who gives love 
priyalata,Loved One; Darling
priyali,Love; Unique; Magical
priyam,Love; Beloved
priyam,Love; Beloved 
priyamada,Clever; Smart 
priyamanjari,Flowers
priyamkari,Goddess Durga, She who does what is liked 
priyamvada,Sweet spoken 
priyamvada,Silence; Sweet Spoken
priyamvadhana,Beautiful
priyamwada,Sweet Spoken; Silence
priyana,Roses; Ideal
priyana,Ideal 
priyanci,Loved One; Beloved
priyanga,Love
priyanga,Lover of Sharmila 
priyangi,Goddess Lakshmi
priyangi,Goddess Lakshmi; Lovely body 
priyangshi,One with Beautiful / Lovable Body
priyani,Loved One 
priyanivita,Loves
priyanjali,Worshipper of One's Ideal Person; …
priyank,Lovable; Lord Shiva / Ganesha
priyanka,Loved One, Beautiful Symbol
priyanka,Beautiful; Lovable act; Symbol; Body 
priyankee,Loved One; Beautiful Symbol
priyanki,Beautiful Symbol; Loved One
priyankita,Lovable Art; Auspicious Mark
priyansha,Lovable
priyansha,Beloved 
priyanshee,Love
priyanshi,Lovable, The Favourite One
priyanshi,Lovable; Dear; Loving 
priyanshu,First Ray of Sunlight
priyansi,Loved One; Ray of Sunlight
priyansi,Lovable; Dear; Loving 
priyansika,Beautiful
priyantika,Loving; Ideal
priyanvada,One who speaks nicely 
priyanvada,One who Speaks Nicely
priyaranjeny,Loving 
priyaranjeny,Loving
priyasha,Beloved; Dear One
priyasha,Dear one 
priyashree,TBD
priyasmita,Best friend 
priyasmita,Best Friend
priyata,Beloved One
priyatama,Lovely
priyatha,Affection 
priyavadhana,Lovable face 
priyavadhana,Lovable Face
priyay,Beloved One; Dear One
priye,Beloved
priyesh,Loved by God
priym,Beloved
priyu,Beloved One; Loved One
priyushi,Lovely; Smart
prjal,Glow; Illuminated; Light; Shining
profulla,Lotus
progya,Prowess
projukta, 
prolasha,Beloved
promila,Love Others
promila,Love others 
promita,Idol
pronita,TBD
pronomita,Beloved
prosmita,Quite a girl 
protima,Statue
protsahi,Encouraging
protyasha,Expectation 
proxima,A Star Nearest to Sun
prshni,Mother of Plants
prthiksha,TBD
prtiksa,Waiting
prtyusha,Early / Bright Morning
prushti,Pink
prushti,Pink 
prusti,God Gifted
prutha,The Earth, Daughter of Earth
prutha,Daughter of earth 
pruthe,Creeper of Love
pruthvi,Earth
pruthvika,Part of Earth
pubi,The wind which passes through east 
pubi,The Wind which Passes through East
puchi,Sweet 
puchi,Sweet
puhu,Name
puja,Idol worship 
puja,Worship, Prayer, Idol Worship
pujaa,Prayer; Worship
pujan,Worship of God; Worship
pujasatya,TBD
pujasatya, 
pujashree,Worship
pujasri,Worship 
pujeetha,To be worshipped 
puji,Gentle 
puji,Gentle
pujita,Worshipped
pujitha,Prayer; Worshipping God
pujitha,To be worshipped 
pujja,Worship, Prayer
pujvika,Prayer; Worship
pujya,Respectable 
pujya,Respectable, Worshipped, Sacred
pujya srita,Goddess Lakshmi (Pujya - respectable Sritha - dressed); Prepared; Mixed 
pujyasrita,Lakshmi 
pulak,Eye; Gem
pulakitha,Shivering with Joy 
pulika,Obedience
pulina,Little
pulkeeta,Happiness, Joy, Overjoyed
pulkit,Worship
pulkita,Always Smiling, Prasann Mukh
pulkita,Embraced 
puloma,Wife of the Sage Bhrigu
puloma,Delighted (Wife of the sage Bhrigu)
pulomi,Worshipped; Daughter of Puloman
puma,Complete; Content 
pumima,Night of the full Moon 
pummy,Innocent, Beautiful, Intelligent
puna,Again
punai,Achiever; Eastern; A musical raagini 
punam,Full Moon 
punam,Full Moon Night
punarnava,A Star
punarnava,A star 
punarnavi,Always New
punarva,Reborn; Something Old Precious
punarvaa,Reborn; Something Old Precious
punarvi,New; Reborn
punarvika,Repeat Again
punarvika,Star 
punasvitha, 
punati,A Flower
pundaleeka,Auspicious
pundalika,Lotus
pundari,Holy 
pundarika,Lotus Like
puneet,Pure
puneeta,Full Moon
puneeta,Love; Pure; Sacred; Devout 
pungodhai,Like a Flower
punika,A Star
punim,Full Moon Night
punima,Full Moon
punita,Pure; Holy; Sacred; Pious; Love
punita,Love; Pure; Sacred; Devout 
punitha,Love, Holy, Pure, Pious, Noble
punitha,Love; Pure; Sacred; Devout 
punitham,Pure Religious
punj,Group of Power; Pure
punjal,Rich
punkodhai,Like a Flower
punkodi,Petal of a Flower
punkuzali,Beautiful
punnam,Full Moon; Also Spelt as Punam
punnya,TBD
punom,Full Moon
punrvee,Reborn
puntayati,Pure; Holy
punthali,A Doll
punthali,A doll 
punya,Auspicious, Virtuous, Good Work
punyaa,Good work; The Goddess who appreciates good deeds; Virtue; Purity; Tulsi or holy Basil; Sacred; Auspicious; Fair; Worthy 
punyabrata,Heart Touch
punyageha,TBD
punyaka,Dear One
punyakeerthi,Goddess Durga, She who is famous for good deeds 
punyanaman,A Doll
punyapriya,A loving person 
punyapriya,A Loving Person
punyarupa,Auspicious Beauty
punyasha,Good Deeds
punyasloka,Virtuous
punyata,Blessings Gained for Good Work
punyatha,Blessing Gained for Good Work
punyatrina,Goddess
punyavati,Full of Virtues, Righteous
punyavi,TBD
punyawati,Virtuous
punyayi,Name of Goddess Durga
punyesha,Good Work, Pious
pupul,Flower; Famous Personality
purab,East
purabi,From the East
puradhana,Ancient
purajana,The Embodiment of Life
purala,Goddess Durga
purala,Goddess Durga; Guardian of fortresses 
purambhi,TBD
puran,Complete; Perfect
purandeswari, 
purandhri,Mother of Vedas; Goddess
purandhri,Same as Gayatri 
puranjani,The Embodiment of Life
puraphala,TBD
puravi,A Rage
purayana,Oldest
purbali,TBD
purbasa,TBD
purbasha,Hope of East
purbi,Direction
puri,City 
puribai,Full of Devotional
purisha,Bonding
purishya,TBD
purna,Complete; Abundant
purna,Complete 
purnaa,Complete; Also Spelt as Purna
purnama,Full; Complete; Full Moon
purnamita,TBD
purnasha,All Wish is Fulfilled
purnashri,With Fortune
purneema,Full Moon
purneetha,Complete Girl
purneima,Night and Day of the Full Moon
purni,Complete
purnika,Abundant; Complete
purnima,Complete; Full Moon; Synonyms
purnima,Full Moon 
purnita,Complete; Fulfilled
purnita,Complete; Fulfilled 
purobi,Beautiful; A Raga
purti,Purification; To Satisfy; Complete
purtika,To Satisfy; Complete
purunitha,TBD
purushaakriti,Taking the Form of a Man
purushaakriti,One who takes the form of a Man 
puruva,Eastern; Elder 
purva,East, Elder, Name of a Nakshatra
purva,Earlier; One; Elder; East 
purvaja,Elder Sister
purvani,Full Moon
purvansa,Ancient
purvansha,Ancient
purvanshi,Purv Disha; Sun
purvasha,Breeze; East
purvee,Fulfiller; One that Satiates
purvi,First; From the East; Beautiful
purvi,A classical melody; From the east 
purvika,Orient; Formerly
purvika,Orient; Formerly 
purvil, 
purvisha,Earlier One
purvita,From the East
purwa,East; Elder; Breeze
purwee,First, From the East
pusha,Nourishing
pusha,Nourishing 
pushaan,Status of Respect
pushaan,A sage; God of fertility; Provider; Protector 
pushika,Gentle Star
pushkala,Abundant; Full
pushkarinee,Elder Sister
pushkarni,River
pushpa,Blossom; Beautiful; Flowers
pushpa,Flower 
pushpaanjali,Nourishing
pushpagandha,Juhi Flower
pushpagandha,Juhi flower 
pushpaja,Born from a Flower
pushpaja,Nectar 
pushpakala,Flower
pushpakali,From the East
pushpakanta,Flower Bud
pushpaki,Mythical Vehicle of Lord Vishnu
pushpaki,The mythical vehicle of Lord Vishnu 
pushpalata,Flower creeper; Flower 
pushpalata,Flower Creeper
pushpalatha,Flower Offering
pushpalatha,Flower creeper; Flower 
pushpalathika,Name of a Raga 
pushpam,Flower
pushpamala,Garland of Flowers
pushpamanjari,Garland of Flowers
pushpangata,Juhi flower 
pushpangi,Flower Bodied
pushpani,Flowers
pushpanjali,Devote Flower to God
pushpanjali,Flower offering 
pushparani,Queen of Flowers
pushpasri,Bunch of Flowers
pushpasri,Bunch of flowers 
pushpavali,Flower Vine
pushpavathi,Possessing Flowers
pushpavathi,Decorated with flowers 
pushpi,Flower Like, Soft, Tender
pushpika,Decorated with Flowers; Flower
pushpita,Decorated with Flowers
pushpita,Decorated with flowers; One that has flowered 
pushpitha,Decorated with flowers, One that has flowered 
pushplata,Flower Creeper
pushprekha,Line of Flowers
pushpya,Flower
pushta,Flower Petal
pushthi,Confirmation; Healthy; Possessor of all wealth; Nourishment; Endorsement 
pushti,Possessor of All Wealth
pushti,Confirmation; Healthy; Possessor of all wealth; Nourishment; Endorsement 
pushtika,Well Nourished Girl
pushya,Flower, Blossom, Uppermost
pushya,8th Nakshathra 
pushyaja,Born from Flower
pushyaja,Born from flower 
pushyati,Soft
pushymi, 
puspa,Flower; Derived from Pushpa
puspanjali,Flower Offering
puspavati,Possessing Flowers
puspita,Flowered; Decorated with Flowers
pustak,Book 
pusti,Confirmation; Healthy; Possessor of all wealth; Nourishment; Endorsement 
pusti,A Form of the Devi
putakini,Full of Energy
putali,Puppet
putana,Blowing Hard
putana,Blowing Hard; Demon 
putul,Doll 
putul,Doll
puvanika,Pure
puvi,earth 
puvika,The One who is in Behaviour
puvika,The One who is in Behavior 
puvisha,Extraordinary Person
puza,Worship; Prayer; Variant of Pooja
pwan,Holy Water; Wind; Air
pyanasu, 
pyari,Lovely
pyas,Thirsty 
qayanat,Universe
qeerat,One who Sings Glories of God
qhushi,Happiness
qiyara,Very Pretty
quaneisha,TBD
quarrtulain,God's Mercy
quasar,Meteor
queeni,Mermaid
quentin,From the Queen's Land; The Fifth
quetzali,Hyper
quincy,Like a Queen
quity,A Beautiful Girl
qushi,Happy
ra,Doe
raa,Princess; Beautiful; River
raaadhika,Love of Krishna
raabhya,Worshipped
raadha,Wealth; Success; Lightning; Lord Krishna's Love; Intellectual energy; Prosperity; Inspiration 
raadhaa,Radha; Krishna's Beloved
raadhana,Speech 
raadhani,Worship 
raadhi,Achievement; Perfection; Success 
raadhika,Goddess Radha; Successful; The beloved of Lord Krishna; Wealthy 
raadhika,Lord Krishna's Girlfriend; Form of …
raadhiya,Lover of Krishna; Satisfied
raaga,Belongs to music terms; Melody; Bringing to life; Emotion; Beauty; Passionate; Desire melody; A form of Indian classical music 
raaga,Belongs to Music Terms
raagavarshini,Rain
raagavi,Sings with Raaga; God of Raghavendra 
raaghavi,Raga 
raagi,Music; Tune; Voice
raagini,A melody; Music; Love; An Apsara or celestial nymph; A form of Indian classical musical; Another name for Lakshmi 
raagini,Passionate about Music
raagvi, 
raah,A Way; Path; Waiting
raahi,Traveler 
raahi,Good Companion; Spring / Traveller
raaida,Leader; A Doll
raaisha,Leader; Goddess
raajvi,Belongs to Royal Family
raaka,Direction; Full Moon
raakhee,A Bond of Love
raakhi,Symbol of Protection
raakhi,Thread of brother sister bonding; Symbol of protection; Full Moon in the Sravan month 
raakin,Respectful
raakin,Respectful 
raani,Queen
raashi,Sign of the Zodiac
raashi,The sign of the zodiac; Collection 
raasya,Secret
raasya,With essence; Sentimental; Full of feelings; Juicy 
raati,Bestowing, Liberal
raavee,Awesome, First Sun Ray on Earth
raavee,Awesome 
raavi,The Sun; A River; First Ray of Sun
raavya,Worshipped
raayana,Gates of Paradise Heaven
rabani,Divine; God's Favourite Child
rabani,Divine 
rabeena,Beauty of the Sun; Peace
rabhya,Worshipped
rabia,Famous, Godly, Spring
rabitha,Bond; Tie
rabsimar,Messenger of God, Kind
rabya,Garden; Famous; Godly 
rachaita,Creator; Artist; Invention
rachana,Creation; Construction; Arrangement 
rachana,Invention, Creation, Creator
rachanaa,Built, Construction, Creative Art
rachanna,Create
rachayata,Creator
rachel,Innocence of a Lamb, Sheep, Ewe
rachhita,To Protect; A Form of Bhagwati
rachi,East; Morning 
rachi,To Form; Morning
rachika,Creator; Mirage or Ray; One who praises; One who knows hymns 
rachika,Creator
rachit,Creator
rachita,Created 
rachita,Creator
rachitha,Smile, Created, Intelligent
rachiyata,Creator 
rachna,Creator, Construction
rachna,Creation; Construction; Arrangement 
rachyati,Creation; Artist
rada,Filled with Care, Glad, Happy
raddha,Lord Krishna's Lover
radha,Wealth; Success; Lightning; Lord Krishna's Love; Intellectual energy; Prosperity; Inspiration 
radha,Success, Prosperity
radhaa,Success, Prosperity
radhamani,Beloved of Lord Krishna 
radhana,Speech 
radhana,Speech
radhani,Worship 
radhani,Worship
radharani,Created; Devotee of Lord Krishna
radharani,Queen Goddess Radha; The beloved of Sri Lord Krishna Bhagavan 
radhashree,Goddess Lakshmi
radhe,Belonging to Lord Krishna
radheki,Pleasure, Satisfied
radheshri,Success, Prosperity
radheswari,Beloved of Lord Krishna
radhi,Forgiveness; Pardon; Willing
radhika,Goddess Radha; Successful; The beloved of Lord Krishna; Wealthy 
radhika,Successful, Prosperous
radhikaa,Successful, Goddess Radha
radhina,Wealthy, Satisfied, Content
radhini,Prosperous; Worship; Wealthy; Goddess of Wealth 
radhini,Prosperous, Worship, Wealthy
radhish,TBD
radhisha,Well-satisfied, Wealthy
radhita,Prosperity; Wealthy
radhu,Prosperity
radhvi,Love
radhya,Name of Radha; To be Worshipped
radhya,Worshipped 
radica,Prosperous, Successful
radika,Lover of Krishna, Successful
radisha,Beloved of Lord Krishna
radnya,Daughter of King
radnya,Daughter of king 
radynee,From the Heart
raeleah,Rays of Sunshine
raeya,Singer; Graceful
rag,Piece of Music / Tune
raga,Harmonious, Melody, Tune, Feeling
raga,Belongs to music terms; Melody; Bringing to life; Emotion; Beauty; Passionate; Desire melody; A form of Indian classical music 
ragachandrika,Lord Krishna's Lover
ragajanani,Goddess Durga
ragamalika,God Vishnu Play the Raga
ragani,A Melody; Singer
ragasudha,Melody with Healing Touch
ragasutra,Radha; Lover of Krishna
ragavardhini,Name of a Raga 
ragavarshini,One who showers ragas 
ragavarshini,One who Showers Ragas
ragavarthini,Elevation
ragavathi,Passionate 
ragavi,Sings with Raaga
ragavi,Sings with Raaga; God of Raghavendra 
ragavinodini,Name of a Raga 
rageeni,A Melody
rageshwari,Goddess of Melody
rageswari,Goddess of Melody
raghav,Lord Rama
raghavi,God of Raghavendra 
raghi, 
raghi,Loving
raghvi,Sweet
ragi,Loving
ragi,Loving; Very much attached 
ragii,Loving; Very much attached 
ragini,A Melody; Attachment; Love; Singer
ragini,A melody; Music; Love; An Apsara or celestial nymph; A form of Indian classical music; Another name for Lakshmi 
ragnee,Attachment, A Melody
ragni,Lovely Goddess
ragvi,Part of Tune / Music
rah,The Way
raha,Peaceful, Happiness, Free, Bliss
rahama,Full of Mercy
rahee,Traveller
rahela,Caravan, Helpful
rahi,Traveller; Spring Weather; Way
rahii,Way, Traveller
rahini,Goddess Saraswati
rahini,Goddess Saraswati 
rahita,Friend of Traveller
rahitya,Inviting Goddess Lakshmi 
rahitya,Inviting Goddess Laxmi
rahnee,Queen
rahni,Princess 
rahni,Goddess Saraswati
rai,Trust, Love, One Name of Radha
rai,Goddess Radha 
raieha,Fragrance; Khushboo
raienu,Beautiful; Night; Rain
raieshwari,TBD
raihana,Aromatic; Sweet Basil
raihanaa,Aromatic Sweet Basil
raihanna,Sweet Princess; Sweet Basil
raihanna,Sweet Basil; Sweet smelling plant 
raika,Pure; Clear; Tranquil; Serene; Beautiful 
raika,Good; Beautiful
raikha,Star; Line; Beauty; Limit
raima,Pleasing, Sunshine
rain,Night
raina,Queen, Advice, Decision
raini,Cheerful, Beautiful and Happy
rainu,Night; Rain; Beautiful
rainy,Rain of Love; Jolly
raisa,Leader; Chief; Princess; Flower 
raisa,Easy-going, Leader, Flower, Queen
raiva,Swift, A Star, A Sweet Heart
raivathi,Star in Space
raizel,Rose
raj kumari,Princess 
raja,Permission, Leave, Hopeful
raja lakshmi,Goddess Lakshmi, Radiant Lakshmi 
rajabrata, 
rajadanya,Loving
rajag,Universal Awareness
rajahansa,Swan
rajai,Hope; Silver; One who Shines
rajakanya,Kind of flower 
rajakokilam,Melody
rajakumari,Princess; Daughter of a King
rajal,Queen of Water, Brilliant
rajalakshmi,Goddess Lakshmi, Radiant Lakshmi 
rajalakshmi,Goddess Lakshmi
rajalaksmi,Goddess Lakshmi
rajam,Goddess Lakshmi 
rajam,Goddess Lakshmi
rajamani,Crown Jewel; Royal Gem
rajamani,King of Gems 
rajamati,One who Belongs to Royal Family
rajammal,TBD
rajana,Colouring, Painting, Brightening
rajanandini,Princess 
rajanaya,Queen
rajanee,Night
rajani,Dark One, Night, Queen
rajanigandha,A flower 
rajanigandha,Scented Flower
rajanna,The king; South Indians add Anna as a mark of respect which means brother or an elder one 
rajanna,Lord Shiva
rajannya,The king, South Indians add Anna as a mark of respect which means brother or an elder one 
rajany,Night
rajanya,Kingly; King's Daughter
rajas,TBD
rajashree,Royalty; Loving; Goddess
rajashree,Royalty 
rajashri,Royalty 
rajashri,Royalty
rajashyamala, 
rajasi,Worthy of a King
rajasi,Worthy of a king 
rajasree,King 
rajasri,Royalty; Grandeur; Goddess Lakshmi
rajasri,Royalty 
rajasulokshana,Night
rajasuya,Lotus flower 
rajasuya,The King's Inauguration Sacrifice
rajasvi,Revenue
rajata,Silver
rajatha,Silver
rajatha,Silver 
rajathi,Queen
rajathi,Queen 
rajathilaka,Name of a Raga 
rajavee,Royal Bird; Princess; Queen
rajaveni,Ruby Jewel
rajavi,Royal Bird
rajay,Silver
rajaya,One who Shines; Silver
rajayasree,Goddess of the Kingdom
rajayna,Silvery; Brightest; Full of Shine
rajbala,Princess
rajbala,Princess 
rajdeep,Light of State / Ruler
rajdip,Princess
rajdulari,Dear Princess
rajdulari,Dear princess 
rajee,Agree; Peace
rajeevani,Small Lotus
rajeevani,Small lotus 
rajendri,Emperor
rajesha,Queen; Emperor
rajeshni,Queen; Name of Goddess Parvati 
rajeshni,Queen; Name of Goddess Parvati
rajeshree,Queen
rajeshree,Royality 
rajeshri,Queen 
rajeshri,Queen
rajeshvari,Princess, Goddess Durga
rajeshvary,Queen of Beauty, Princess
rajeshwari,Goddess Parvati; Great Goddess
rajeshwari,Goddess Parvati; Goddess of Kings; Princess 
rajeshwery,Beautiful
rajeswaree,Queen
rajeswari,Queen
rajeswari,Goddess Parvati; Goddess of Kings; Princess 
rajeswary,TBD
rajha,Permission, Leave, Hope
rajhans,Celestial Swan
rajhansa,Swan 
rajhansa,Swan
raji,Shining, Lighting Group, Smile
raji,Thankful for anybody; Satisfied; Contended; Pleased 
rajiffer,Princess
rajika,Lamp; Line; Streak
rajika,Lamp 
rajila,Silvery; Loving
rajina,Sun Shine; Sun; Light
rajinder,King Indra, The Emperor
rajini,Moonlight; Dark Night
rajini,Night 
rajisha,Moon
rajisha,Moon 
rajishma,Moon
rajita,Bright; Brilliant; Illuminated
rajita,Brilliant; Illuminated 
rajitah,Ornamented, Attracted, Bright
rajitha,Beauty, Winner, Illuminated
rajitha,Brilliant; Illuminated 
rajivini,Collection of blue lotuses 
rajivini,Collection of Blue Lotuses
rajivya, 
rajji,Peace
rajjo,Cute
rajju,Angel of softness 
rajju,Angel of Softness
rajkala,TBD
rajkala,A crescent of the Moon; A royal piece 
rajkamal,King of Lotus
rajkanya,Queen; Princess
rajkumari,Princess
rajkumari,Princess 
rajl,God; Lord Muruga
rajlakshmi,Wealthy Kingdom, Goddess Lakshmi
rajlakshmi,Swan 
rajlaxmi,The one who will rule on money 
rajmata,Queen
rajmati,Queen
rajmattie,Shining
rajmoni,A Princess; Jewel of Kingdom
rajnandani,Kings Daughter, Goddess Lakshmi
rajnandhini,Princess 
rajnandhini,Daughter of a King; Princess
rajnandini,Princess 
rajnandini,Queen of Beauty; Princess
rajnandni,Princess
rajnee,Night
rajneesh,Lord of the Night
rajneeta,Name of Moon; Daughter of King
rajnesh,Night Winner
rajni,Night 
rajni,Night
rajnibala,TBD
rajnie,Queen of Night, Dark One
rajniesha,The Moon; Queen of the Night
rajnikant,The Moon 
rajnisha,Moon
rajnita,Daughter of King
rajonyaa,Member of Royal Family
rajoshree,Royal Shine
rajpreet,King; Love; Rule with Love
rajpriya,Beloved of Kingdom
rajputana,Mighty, Brave, Fearless
rajrajeshwari,Goddess Parvati
rajrani,Queen of the Kingdom
rajrita,Prince of Living
rajrita,Prince of living 
rajshee,The One who Belongs to Kingdom
rajshree,Sage like king 
rajshree,Sage Like King
rajshri,Like a King; Rajya Lakshmi
rajshri,Sage-like king 
rajsi,Proudly; King 
rajsi,Proudly; King
rajsri,Like a King
raju,Emperor; The King
rajul,Innocent, Brilliant, Shining
rajula,One of City Name in Gujarat
rajvanthi,Queen; Princess
rajvanti,Princess
rajvati,Princess
rajvee,Queen; Ruling; Princess
rajveer,Brave King
rajvi,Brave 
rajvi,Beautiful, Queen, Princess, Brave
rajviba,Princess; Belongs to Royal Family
rajvika,Goddess Saraswati
rajvika,Goddess Saraswati 
rajwant,The One of Its Kind
rajwantee,Princess
rajwanti,Queen; Princess
rajwati,Princess / Queen, Illuminated
rajyalakshmi,Goddess Durga, She who is the wealth of kingdoms 
rajyashri,State Honour
rajyotika,Light
raka,Full Moon
raka,Full Moon 
rakashnda, 
rakavi,Queen of music and songs 
rakavi,Queen of Music and Songs
rakchi,Beautiful
rakeeh,Night
rakendu,Whose face is glowing like Moon 
rakesh,The Moon
rakhee,Thread of brother; Sister bonding 
rakhee,Symbol of Protection
rakhi,Thread of brother-sister bonding; Symbol of protection; Full Moon in the Shravan month 
rakhi,Bond of Protection; Trust; Ashes
rakhsha,A Lustrous Woman
rakini,Goddess Durga; Night; Name of a Tantra Goddess 
rakishi,Wide Load
rakishi,Wide load 
raksha,Protection; Defensive
raksha,Protection 
rakshaa,Protection 
rakshada, 
rakshadashri,TBD
rakshana,The act of protecting; Watching over 
rakshana,Protect
rakshanda,Protecting
rakshanda,Protecting 
rakshanshi,Protection
rakshanya,Protected; Guarded
rakshati,One who Protects 
rakshati,One who Protects
rakshatira, 
rakshika,Protector 
rakshika,Protector
rakshina,Cute 
rakshini,Protected; Guarded; Goddess Durga
rakshita,Who protect 
rakshita,Protection; Protector
rakshitha,Who protect 
rakshma,Rich Girl
rakshta,Protector; Guardian
rakshu,Protection
rakshya,Protection; Guarded
rakshya,Protector; Guard 
raksita,Protected
raksitha,A Guard
rakta,Painted; Beloved; Red; Dear
rakti,Pleasing 
rakti,Redness, Pleasing, Loveliness
raktima,Goddess Saraswati; Goddess Durga
raktima,Pleasing 
rama,Lord Rama, Pleaser of the Lord
rama,Goddess Lakshmi; A wife; The Goddess of fortune; Good luck; Riches; Splendor; VermilLion; Red Earth; Name of An Apsara; Epithet of Mahalakshmi; A woman 
rama devi,Goddess Lakshmi Devi 
rama satya,A lofty place 
ramaa,Goddess Lakshmi; Wife; Lord Ram
ramaadevi,Goddess of Beauty
ramadasa,Sevak of God Ram
ramadevi,Goddess Lakshmi Devi 
ramadevi,Goddess of Beauty; Lovely Woman
ramagauri,Fair Women
ramakali,Name of a Raga 
ramakshi,The redness of sun-rays 
ramakshi,Pleasant-eyed Lady
ramalakshmi,Goddess Lakshmi; Beautiful; Enchanting; Charming Lakshmi 
ramalakshmi,TBD
ramamani,Jewel Adorned by Lord Ram
ramana,Enchanting; Beautiful
ramana,Enchanting 
ramanee,Lakshmi
ramani,Beautiful Girl
ramani,Beautiful girl; Beautiful woman; Pretty; Affectionate; Pleasant; Happy 
ramanika,Delightful; Lovely Woman; Pleasing
ramanitha, 
ramanjeet,Loveable of All
ramanshi,Pleasing; Part of Lord Ram
ramapriya,Beloved of Lord Rama
ramapriya,Name of a Raga 
ramarani,Queen of Rama
ramavina,Beautiful
ramavita, 
ramaya,Beautiful; Natural
ramayee,Devotee of Lord Rama
ramayi,Beauty of Lord Ram
ramayya,Natural; Beautiful
rambha,Name of an Apsara (Angel)
rambha,A celestial dancer; Lovable; Pleasing; Pleasant; Support; An Apsara 
ramdevi,TBD
ramdulari,Beloved of Lord Rama
rameela,Lover
rameetha,Goddess Sita
ramesh,Rest, Cheerfulness, Lord Rama
rameshi,The Preserver, Lord Vishnu
rameshvari,Consort of Lord Rama
rameshwari,Goddess Parvati; The consort of Ram the God 
rameshwri,Consort of Lord Rama
rameswari,Goddess of Ram
rameti,TBD
ramgauri,Goddess Laxmi; Beautiful Women
ramika,Pleasing; Charming; Rejoicing
ramila,Bestowed of Pleasure
ramila,Lover 
ramini,Beautiful Girl
ramini,Beautiful girl; Beautiful woman; Pretty; Affectionate; Pleasant; Happy 
ramisa,White Rose
ramisha,White Rose
ramit,Pleasing
ramita,Happiness; Pleasing; Pleasant
ramita,Pleasing; Loved; Happy 
ramitha,Pleasing; Beautiful
ramitha,Pleasing; Loved; Happy 
ramkala,Art of Lord Rama
ramkumari,Devotee of Lord Rama
